A,B,C
522,776,860
508,417,465
63,486,921
806,116,880
51,236,903
560,212,893
543,912,431
340,379,382
360,469,619
685,174,296
707,629,992
836,638,474
965,442,760
836,962,783
410,787,591
103,810,74
845,660,16
232,333,955
597,203,357
140,350,73
111,212,9
619,776,230
126,243,610
387,752,365
358,310,372
322,459,603
413,732,122
120,674,253
354,507,691
977,867,726
104,232,697
876,404,408
311,494,261
221,378,479
849,164,905
586,314,804
874,198,364
550,144,506
275,858,497
236,833,594
913,180,535
134,817,206
54,496,955
128,485,715
846,26,73
702,706,175
791,368,265
742,534,166
582,856,895
511,147,731
732,988,138
615,822,756
842,895,717
100,28,380
607,940,440
239,623,399
85,341,389
799,958,220
793,184,765
532,50,742
790,922,781
755,98,417
366,824,11
829,21,240
842,527,339
229,224,576
860,553,851
882,535,248
686,253,646
774,955,141
538,242,527
596,662,898
866,410,629
563,3,35
299,738,269
297,30,124
198,743,566
568,178,58
143,153,417
540,179,914
183,622,150
502,11,70
442,50,94
861,71,415
856,98,3
636,309,368
244,789,751
510,136,96
538,555,637
153,547,342
460,508,111
936,202,517
19,112,650
656,712,573
712,729,379
169,966,344
834,173,146
245,179,922
828,217,857
447,124,461
485,459,770
735,404,778
65,239,642
947,830,421
409,895,473
394,749,839
105,378,118
457,567,785
368,520,850
423,210,218
248,389,961
451,926,977
949,133,125
754,506,576
139,186,373
406,88,848
933,441,793
184,540,2
81,479,968
578,661,338
794,971,217
509,473,393
94,97,668
868,6,594
507,917,939
685,608,847
422,610,482
260,635,10
324,822,340
894,981,647
404,726,652
329,952,909
522,3,57
786,701,1
592,273,200
764,210,279
668,597,31
474,353,212
531,938,557
742,253,889
344,161,658
733,961,658
36,389,530
419,922,14
554,614,628
888,774,742
823,779,603
534,118,523
605,774,470
545,245,252
470,794,27
211,542,732
733,689,217
631,303,127
879,786,440
636,936,866
346,35,491
284,439,74
753,912,472
497,69,504
761,477,960
478,61,595
45,190,658
737,122,486
656,207,765
339,812,745
845,977,964
297,854,134
502,849,343
845,284,843
843,719,801
130,892,462
737,969,906
124,93,249
519,539,860
381,566,861
423,761,458
545,132,732
513,325,31
793,212,637
490,927,616
829,437,628
322,106,863
437,286,252
701,617,33
303,709,147
211,454,967
85,182,936
382,154,539
86,274,797
193,652,896
61,724,277
487,795,969
603,31,125
167,487,770
853,774,309
129,660,444
303,216,858
519,485,774
507,664,157
733,807,20
798,937,96
471,892,988
87,955,899
572,486,764
481,734,742
688,256,620
147,232,289
876,646,273
57,114,976
360,50,2
220,975,659
997,807,692
629,708,124
72,14,442
550,606,32
612,146,491
248,50,191
100,718,101
392,668,905
466,632,274
497,457,450
94,105,945
614,210,557
807,150,397
656,60,978
998,754,83
516,766,362
355,580,915
64,384,920
738,182,520
941,46,804
72,572,831
329,36,740
396,546,629
488,462,984
697,747,589
769,495,814
501,739,673
489,251,474
236,212,395
117,212,391
737,566,701
838,191,284
647,177,405
236,647,46
613,967,281
748,806,813
367,427,504
362,812,556
280,979,809
520,16,918
558,981,944
265,847,192
484,705,152
478,443,917
515,721,989
843,275,108
699,836,666
229,78,335
278,47,600
993,440,29
200,934,842
31,366,824
496,431,412
207,334,903
382,316,943
827,690,897
908,204,599
765,695,624
387,499,804
79,41,415
2,801,604
406,797,659
817,54,23
382,569,140
524,266,776
831,614,626
754,701,656
565,470,355
420,482,652
126,680,30
72,531,824
149,497,655
503,817,581
710,520,993
915,636,903
132,123,211
719,897,174
528,246,170
566,271,556
796,23,743
27,113,272
151,212,277
538,661,53
858,365,518
108,367,170
310,368,798
97,108,576
271,924,168
657,752,181
167,359,36
851,851,882
222,712,345
683,410,635
909,413,547
65,589,704
975,886,681
134,252,792
169,567,477
956,691,635
211,657,988
83,780,290
787,510,788
96,730,926
614,251,70
532,666,934
212,828,773
473,901,963
123,110,742
496,465,109
903,196,392
871,256,898
956,626,892
894,778,50
400,596,992
762,427,90
154,862,39
135,491,948
49,677,394
506,434,321
324,909,147
950,812,802
926,110,901
938,90,69
782,572,838
67,514,712
86,839,359
727,20,827
675,381,663
108,144,82
631,538,312
682,915,914
818,806,642
349,451,720
464,770,494
207,58,206
770,925,751
432,558,359
327,715,601
219,848,870
9,407,491
223,222,679
788,113,659
418,416,434
997,280,932
328,327,442
311,962,665
568,699,267
971,47,525
216,201,92
389,169,37
975,673,87
932,720,115
64,298,535
916,827,211
304,502,548
131,81,565
59,831,379
990,91,825
612,888,429
443,307,880
227,899,398
977,35,341
635,405,487
20,615,843
815,296,379
298,35,818
665,223,798
492,884,536
313,38,553
664,777,620
992,479,137
441,591,446
462,403,545
578,752,618
288,786,6
868,572,71
217,753,78
959,795,162
176,239,790
941,122,917
671,443,36
125,754,555
58,501,909
156,975,407
332,705,164
71,955,616
472,92,678
781,832,380
743,141,175
11,138,192
795,229,160
572,162,14
703,511,857
423,788,707
513,784,541
989,987,649
967,794,148
852,526,721
639,948,276
843,456,904
873,863,439
146,315,488
823,13,123
365,600,881
50,991,482
38,103,673
370,282,747
402,598,793
44,424,577
573,408,150
583,692,360
955,416,31
862,176,520
157,327,869
679,910,301
186,987,67
651,403,507
573,459,77
461,4,716
184,500,587
827,14,342
653,952,722
254,526,663
325,263,480
999,317,348
111,436,329
78,322,860
844,549,943
973,577,642
520,941,750
983,429,90
340,245,239
15,547,174
967,666,202
170,136,650
13,366,870
732,486,748
965,990,922
328,236,150
799,266,664
413,141,222
400,11,116
519,696,468
12,153,396
41,15,357
313,113,688
416,203,726
841,276,268
827,67,389
712,239,28
299,399,688
410,885,93
190,728,608
562,105,164
117,488,412
5,389,831
317,373,649
514,412,352
970,388,764
670,991,624
537,238,138
640,883,112
110,337,584
632,621,158
644,840,646
608,948,880
236,308,621
688,861,130
860,175,32
164,493,475
239,406,655
632,141,130
949,808,502
735,763,673
166,995,256
747,435,416
571,422,527
719,399,764
859,250,215
606,128,295
823,544,23
407,123,214
716,128,678
844,883,343
382,118,147
936,965,934
89,562,768
577,903,945
475,727,755
965,413,464
910,120,134
270,658,551
712,871,233
89,138,252
993,337,853
638,591,410
5,302,412
95,535,567
697,687,63
644,411,712
216,308,561
653,61,384
929,80,798
306,154,457
866,858,985
32,300,386
844,278,90
589,572,289
63,87,198
810,749,358
142,804,891
728,473,241
781,256,552
629,927,280
359,752,8
356,482,331
724,127,72
271,643,515
325,935,252
360,645,923
742,259,797
673,266,126
806,516,642
806,246,604
893,709,377
190,227,54
431,146,321
590,799,221
530,701,980
803,203,199
651,490,206
911,867,430
560,655,163
609,781,185
582,41,597
574,846,834
337,699,909
318,556,859
615,407,304
165,927,194
907,933,799
11,479,301
981,268,487
262,458,79
996,786,560
356,893,688
742,645,682
82,879,785
428,455,814
414,79,623
1,381,521
595,68,91
923,223,552
820,683,843
853,305,279
424,194,874
894,609,182
123,174,722
151,283,819
446,500,744
248,247,965
314,830,736
642,424,405
579,553,542
321,672,947
259,298,878
141,960,915
845,917,793
29,890,493
21,656,601
87,836,516
765,257,991
352,698,377
712,853,340
690,95,784
821,656,461
388,575,570
348,510,61
842,25,204
896,610,499
892,626,335
598,652,110
256,77,227
449,640,352
264,608,610
600,345,202
921,832,478
289,308,169
987,951,70
97,178,439
503,156,154
854,67,222
713,969,458
872,757,130
603,827,701
60,740,201
424,995,455
4,303,891
626,117,131
204,175,735
253,307,828
785,455,28
519,582,919
51,724,749
26,33,652
81,813,540
824,419,56
441,15,895
721,77,684
747,28,592
772,54,231
55,875,303
594,463,962
652,172,363
836,154,418
665,685,118
616,355,644
587,801,109
673,362,753
320,893,804
836,203,398
769,694,797
87,411,141
855,287,742
950,781,82
726,302,403
851,14,949
127,390,374
68,668,625
360,63,855
820,820,171
967,416,421
522,581,775
668,60,479
696,734,334
71,586,781
880,614,743
51,345,166
336,910,86
677,108,426
460,439,919
37,465,947
55,184,89
566,218,784
260,128,658
735,462,21
652,863,76
210,796,366
268,192,254
962,236,896
624,698,832
387,392,678
288,722,508
85,605,93
790,331,237
838,787,343
540,480,809
321,702,51
385,907,137
817,410,134
615,187,746
66,677,514
992,403,683
703,929,569
630,119,121
569,746,350
362,942,40
139,611,465
69,134,151
695,890,850
432,885,491
925,702,181
130,768,241
767,814,195
487,207,108
671,650,73
18,58,970
438,478,585
63,611,475
139,961,328
658,556,536
605,516,508
268,894,980
81,715,623
250,402,995
265,604,107
834,942,977
331,627,300
2,577,768
76,944,319
933,632,325
787,426,401
347,835,506
817,351,834
257,125,181
251,195,925
200,150,185
576,286,163
198,120,503
48,487,615
413,678,133
867,317,999
842,98,933
775,957,521
679,22,244
99,933,936
504,877,647
303,157,155
496,115,960
322,5,290
59,712,116
131,660,379
213,735,920
282,568,858
994,927,759
694,956,923
415,376,902
45,279,202
949,105,718
782,69,114
174,481,749
240,711,391
521,591,467
382,842,320
530,956,862
781,857,241
631,274,186
959,798,219
69,220,817
92,842,54
408,594,286
946,13,153
535,513,36
332,754,586
42,176,793
193,910,756
370,287,226
6,943,998
315,741,330
715,674,934
711,561,231
329,784,664
430,674,968
794,900,514
59,300,397
698,266,554
421,294,859
237,883,614
862,483,156
502,372,58
927,339,746
198,176,200
968,101,715
662,201,909
984,573,341
590,602,621
50,859,295
456,192,37
763,581,356
399,920,367
735,330,141
166,774,179
734,928,628
595,769,266
664,936,580
464,142,576
433,670,260
404,669,996
248,298,794
805,981,343
97,406,817
512,979,269
656,84,604
862,170,229
27,784,179
689,124,186
681,721,476
179,417,433
366,207,243
573,972,799
792,716,532
984,94,430
979,299,869
63,310,423
557,29,111
299,334,515
823,702,616
66,724,502
230,247,889
513,347,78
486,654,548
628,763,884
604,71,232
615,243,668
839,384,223
145,876,556
176,373,230
686,616,919
160,398,679
553,105,140
392,21,31
136,620,418
189,249,58
152,636,778
708,406,139
386,325,510
489,193,252
536,519,296
440,276,904
156,268,304
85,787,633
903,600,719
968,962,665
988,49,47
637,828,417
91,387,482
343,955,150
992,784,544
235,584,260
738,808,176
900,341,150
212,747,469
845,414,925
378,601,408
597,292,398
217,864,209
176,542,432
736,393,353
235,128,711
311,446,154
324,951,443
458,120,607
390,602,489
576,995,332
936,492,417
374,419,124
379,89,140
9,543,766
759,348,317
64,13,2
481,736,8
859,820,767
902,801,836
961,793,184
58,563,910
382,493,152
197,954,655
105,847,739
280,818,681
832,496,55
468,92,14
447,54,302
742,819,13
225,263,421
531,102,553
567,328,12
728,686,965
529,137,166
794,356,77
254,670,480
724,907,338
905,825,322
325,991,408
388,236,292
558,825,171
116,937,556
72,816,650
940,763,931
175,935,13
201,86,552
294,57,528
572,350,180
57,162,624
655,487,647
228,945,475
801,75,723
64,965,387
807,902,953
671,645,692
261,58,260
952,615,187
652,971,380
197,528,813
38,162,974
462,426,936
15,349,267
512,418,571
47,397,488
37,988,367
570,832,278
666,656,113
527,58,478
710,643,466
614,310,656
500,813,372
824,887,934
981,727,908
175,573,946
177,41,398
682,778,166
518,970,285
741,302,432
562,535,598
169,536,901
380,816,115
440,766,526
300,553,322
403,468,503
631,434,628
743,917,437
970,856,433
612,292,18
354,678,935
366,292,468
8,756,261
207,812,626
676,759,6
827,551,247
986,639,691
58,757,844
134,430,796
603,77,806
205,844,42
391,173,969
215,254,999
921,219,214
336,301,56
644,721,585
963,400,365
908,499,491
643,629,293
418,339,636
728,254,715
324,268,61
284,145,626
325,418,515
523,876,31
798,414,718
317,885,32
456,276,291
265,543,120
87,465,940
210,577,469
369,687,126
333,601,408
746,206,368
54,227,614
297,808,406
118,221,45
968,681,401
216,534,588
878,79,535
427,809,774
17,58,440
937,481,507
188,234,493
932,300,690
158,958,648
708,790,166
642,736,977
400,5,463
270,922,273
707,692,920
768,328,272
609,901,349
61,500,879
603,246,776
860,162,359
499,881,683
344,678,429
680,812,701
105,437,417
895,510,113
167,506,166
584,192,201
817,154,287
359,503,167
152,910,949
631,910,356
433,813,557
51,162,60
955,37,600
306,938,957
12,289,708
52,743,924
209,288,71
955,291,49
604,440,225
529,194,561
826,526,817
330,578,635
588,248,314
489,477,259
960,315,590
303,233,50
780,44,53
811,405,60
399,489,167
890,397,336
675,923,672
817,447,519
165,581,89
179,149,61
364,831,219
997,433,500
767,63,777
68,519,80
305,843,388
990,210,557
450,836,784
299,602,794
266,638,45
456,817,666
853,695,335
554,110,134
712,672,393
914,577,148
785,654,645
410,675,961
173,26,482
719,480,11
746,266,264
522,980,720
708,651,989
60,680,580
724,939,104
1,647,694
683,421,295
964,986,187
928,228,934
799,290,582
349,175,71
358,264,785
561,933,932
252,333,996
284,515,411
651,523,492
533,54,271
363,812,55
505,206,16
226,462,291
358,949,696
590,916,391
629,640,20
704,12,483
953,390,246
2,231,456
108,468,163
799,743,747
718,7,59
181,649,610
626,408,61
555,655,499
819,413,769
734,481,622
721,692,268
29,98,324
500,805,571
275,478,727
539,215,98
177,265,894
982,285,63
671,763,122
285,456,402
295,572,103
367,977,83
997,771,363
203,309,29
860,202,154
992,136,371
763,230,99
360,321,791
983,218,56
972,730,777
760,306,322
569,190,150
214,382,223
591,828,958
363,170,60
17,360,811
449,517,737
521,791,611
968,191,786
640,68,683
844,927,755
868,705,786
349,767,639
739,623,86
567,592,389
559,179,251
937,742,171
508,704,365
617,240,777
137,11,470
821,437,668
745,723,706
565,907,341
189,172,588
62,127,868
884,755,533
236,504,712
572,62,253
527,341,624
859,343,591
630,156,837
137,913,410
709,714,498
41,878,611
759,209,514
149,795,51
824,91,383
353,826,50
455,38,418
690,873,17
162,259,425
983,870,778
910,516,207
935,594,896
17,606,940
867,650,341
999,228,888
989,272,652
777,321,730
948,776,619
40,737,410
530,381,621
640,104,415
303,32,48
503,141,960
676,296,195
465,961,899
61,745,405
109,303,454
2,110,735
533,853,455
647,575,802
514,506,765
465,510,753
114,894,707
754,448,827
74,798,173
762,611,736
298,568,648
971,18,206
269,888,801
787,38,197
341,707,348
611,339,646
323,201,293
765,81,641
87,771,976
418,231,977
703,170,700
631,581,920
284,288,218
609,710,48
750,338,805
88,175,129
380,977,709
995,449,760
533,874,185
969,331,973
668,833,1
823,306,822
122,75,461
276,47,804
2,265,943
628,949,493
956,638,20
420,76,73
774,55,679
695,561,815
270,616,907
124,81,221
427,367,261
320,788,931
488,727,375
209,732,210
797,704,982
399,398,238
592,44,958
965,256,925
335,721,937
300,477,617
31,281,718
828,621,407
688,627,406
797,214,554
799,284,160
883,833,222
81,933,135
423,112,459
364,299,151
155,794,691
747,991,830
65,504,627
950,185,505
2,111,964
66,265,73
132,152,187
751,196,2
605,153,558
57,414,883
327,729,257
900,95,673
284,34,175
307,34,644
901,463,932
421,522,366
38,733,544
38,128,48
942,277,6
823,560,278
425,948,935
67,179,51
169,740,222
245,221,4
911,219,819
178,455,181
455,592,635
407,689,674
279,753,303
909,22,975
699,406,645
783,837,77
38,945,495
94,992,913
233,65,484
831,270,828
221,249,405
653,988,519
580,70,355
357,651,93
197,17,202
132,758,929
748,288,204
496,713,436
198,245,859
803,420,169
657,505,93
341,636,387
409,37,833
678,343,3
816,421,563
898,616,510
721,72,178
250,4,982
17,931,348
723,764,178
341,69,519
117,57,77
506,122,670
535,842,643
837,173,944
970,47,289
603,805,39
538,549,68
135,243,755
874,513,473
718,178,950
590,705,845
714,596,381
432,864,499
478,51,868
695,71,46
260,866,419
238,983,653
933,798,81
627,896,35
819,158,934
62,137,499
631,47,447
351,990,131
130,159,509
559,44,630
565,621,34
449,794,662
430,399,497
408,760,270
219,570,206
911,537,907
618,565,184
602,262,189
687,395,564
772,855,93
23,715,266
726,441,727
361,962,815
723,947,577
42,495,998
853,783,58
126,263,151
379,474,235
841,483,377
150,499,265
385,364,573
943,237,891
459,841,28
729,609,2
332,631,879
370,218,604
799,596,146
860,771,540
508,194,786
336,814,628
134,655,173
810,34,548
553,729,342
205,500,320
980,831,887
479,649,177
338,487,993
42,441,623
466,738,732
583,684,474
883,855,393
426,363,989
698,427,109
792,920,685
923,791,924
687,680,438
830,526,636
725,422,605
156,895,318
595,798,256
341,936,838
713,679,848
402,274,473
783,472,829
190,717,802
904,112,882
818,855,185
855,665,58
468,292,291
480,561,978
933,658,924
9,664,372
398,831,540
927,904,247
97,348,941
578,363,651
473,156,603
712,512,110
751,987,513
451,887,19
704,277,367
15,879,181
219,418,111
762,597,795
801,641,844
149,176,581
62,563,601
80,286,554
115,115,831
308,676,572
177,806,912
236,763,325
107,158,263
355,660,112
433,149,772
984,462,211
763,69,394
701,44,416
560,904,466
370,190,276
462,664,391
776,139,438
417,576,89
517,680,715
450,627,905
880,854,284
731,673,170
407,652,987
705,514,989
632,975,843
62,335,815
167,483,772
419,656,794
312,274,284
891,907,86
446,353,882
578,47,595
206,641,468
138,624,365
170,358,511
355,697,511
4,82,825
527,33,979
504,617,274
122,856,810
212,707,298
94,300,451
827,192,93
598,652,838
836,20,393
412,983,568
613,951,592
967,348,92
230,919,910
572,954,378
563,162,179
418,243,622
770,918,541
443,508,75
71,428,652
959,761,180
464,17,392
499,543,984
891,199,917
384,110,398
105,737,559
803,292,138
679,128,610
81,609,604
446,983,572
925,600,206
785,95,576
593,786,157
513,23,895
318,771,605
10,385,283
186,192,668
716,133,724
415,539,779
103,948,855
725,274,458
141,193,956
100,889,804
877,401,286
890,936,468
277,427,331
847,410,481
488,960,455
629,56,243
785,962,949
646,293,355
945,965,144
560,379,785
145,194,513
705,211,356
269,277,564
54,674,324
918,34,171
908,342,197
278,68,331
235,830,325
682,550,897
396,958,90
507,155,985
408,320,849
992,984,705
690,673,765
307,157,239
252,570,347
780,333,186
183,848,626
875,499,939
819,539,815
115,663,505
318,304,237
468,826,614
376,335,493
485,693,903
372,866,548
332,850,919
770,742,488
191,11,979
452,146,311
642,470,634
901,557,99
143,517,413
678,663,812
988,599,460
175,437,391
501,600,962
878,97,423
773,482,829
466,484,637
364,480,205
414,76,251
437,17,744
409,635,49
735,586,923
901,542,235
911,543,103
849,615,624
170,286,531
448,106,34
608,499,942
590,652,314
436,2,163
72,886,235
381,45,326
528,452,583
130,758,656
641,1,623
881,613,668
884,545,295
959,557,860
997,882,42
194,737,373
809,625,296
680,503,500
193,851,809
66,94,832
955,264,943
154,821,229
695,412,721
106,279,876
990,653,201
157,866,159
769,810,673
448,737,1
795,320,250
337,697,977
929,175,667
435,660,639
399,29,960
914,664,780
807,314,73
338,956,23
401,13,851
438,906,731
27,870,583
265,313,250
207,191,290
41,756,74
320,667,959
80,560,106
215,684,527
212,5,527
240,875,150
546,308,417
674,958,118
337,779,759
923,266,726
194,941,822
421,791,469
976,640,13
149,615,961
363,953,112
393,653,251
575,118,218
811,912,465
205,423,357
957,882,152
862,465,799
472,365,446
578,706,534
523,677,701
421,938,870
801,544,991
100,850,183
268,960,728
425,575,535
437,657,694
874,462,194
242,338,183
40,603,520
275,997,162
889,736,778
444,40,662
137,132,45
24,352,102
761,203,641
343,672,671
34,312,52
529,148,122
324,818,697
614,349,350
517,106,593
80,43,811
483,22,987
665,59,148
671,503,357
130,947,964
616,958,389
55,640,816
882,570,665
306,80,272
897,552,502
341,450,234
471,82,385
103,604,55
64,28,259
201,97,689
109,764,278
594,336,318
282,976,547
495,355,943
94,894,263
659,325,976
85,973,608
69,811,998
733,454,214
750,732,42
63,48,783
587,825,175
939,39,231
480,592,969
98,743,549
89,769,970
961,109,465
431,310,444
231,347,316
81,188,779
768,466,298
600,244,678
434,803,705
413,527,293
744,170,726
259,133,191
492,628,152
11,974,211
738,931,804
161,527,854
874,939,23
597,406,596
379,136,331
465,844,65
140,414,698
148,834,424
217,332,157
736,754,539
90,591,945
38,569,792
426,732,368
137,393,533
187,195,184
176,413,846
277,64,330
710,993,858
125,369,25
788,422,243
41,300,446
789,981,70
469,328,332
701,520,910
82,620,506
246,789,734
835,723,631
672,949,989
131,724,350
991,257,545
912,749,186
40,913,174
76,934,891
298,290,443
613,622,634
823,901,578
838,561,838
9,32,828
359,99,610
111,237,6
602,315,100
505,74,544
971,271,926
167,425,17
704,925,43
269,848,479
447,190,411
58,4,883
571,877,74
923,952,649
607,831,236
264,710,672
414,711,224
265,829,171
894,828,385
602,2,336
553,582,217
211,853,327
765,250,906
183,890,953
134,18,511
40,490,412
803,827,873
671,34,70
27,915,763
164,917,731
372,270,212
495,827,253
899,906,841
527,689,255
787,627,177
879,100,505
899,6,591
841,424,745
308,783,279
892,277,902
839,906,711
584,651,350
885,710,358
56,778,489
422,431,204
276,821,691
515,10,492
646,467,51
928,768,256
644,560,756
985,919,651
427,202,601
85,372,872
948,297,11
569,299,725
512,677,211
959,290,27
276,258,229
212,628,807
201,127,272
863,344,416
768,634,892
372,565,342
744,685,552
195,470,955
175,779,812
368,607,556
642,369,476
212,822,939
450,725,966
63,306,701
535,115,224
64,170,460
677,98,66
574,229,642
801,545,687
427,541,633
778,47,246
59,598,618
916,923,574
836,690,434
906,621,370
368,139,951
386,326,858
469,630,103
766,581,371
797,664,248
127,304,833
343,343,821
570,643,928
141,299,914
516,636,556
988,181,295
575,453,103
459,504,22
821,927,650
147,743,981
465,116,700
837,894,569
832,123,296
159,865,226
595,309,912
652,281,238
452,524,463
817,29,267
475,285,359
598,799,107
316,365,885
759,814,540
545,593,848
389,610,360
367,420,627
895,159,124
482,784,878
630,733,420
898,269,872
986,115,17
192,794,522
594,512,66
907,863,857
945,183,342
4,478,447
35,253,813
597,729,769
346,56,163
132,787,443
116,89,862
539,363,227
132,542,246
481,55,977
437,158,303
896,122,418
173,985,484
74,636,961
602,480,34
522,745,803
705,557,520
578,534,350
873,836,655
929,490,790
471,693,686
100,577,692
37,25,937
351,220,979
563,932,573
620,523,87
360,112,811
902,548,850
85,240,175
602,801,790
994,356,370
353,621,920
691,89,504
823,823,956
271,422,474
405,247,788
966,681,280
262,833,665
102,345,81
707,412,741
296,223,138
436,940,924
774,93,3
635,785,758
467,55,10
861,962,55
371,108,770
489,212,782
714,494,642
667,406,184
1,8,781
725,169,131
867,792,259
926,54,633
975,344,285
191,234,265
99,999,522
392,972,246
938,965,816
520,650,784
228,555,534
546,391,341
570,310,451
428,381,963
901,847,594
569,787,739
381,448,158
536,375,91
143,970,542
654,409,104
923,431,372
9,204,14
324,38,914
286,497,377
906,12,765
290,228,318
28,673,750
651,987,663
384,21,330
254,321,629
934,928,5
391,860,282
834,777,877
540,806,33
775,988,57
10,327,52
389,215,363
879,475,954
439,753,394
489,347,777
8,609,847
70,235,759
221,598,535
31,143,834
873,991,762
143,691,498
315,387,122
454,571,312
934,383,243
640,103,687
487,970,816
788,726,977
101,786,415
481,792,889
59,593,219
167,977,703
222,152,173
100,190,692
605,953,649
351,188,245
140,700,994
705,231,400
673,518,652
925,319,5
453,186,55
391,26,107
401,636,661
130,511,165
228,919,31
408,526,600
721,330,481
462,801,544
606,309,428
353,882,138
82,92,978
270,21,784
918,731,977
618,801,212
308,253,700
118,317,897
793,849,967
825,71,229
699,211,445
35,510,987
277,811,215
66,365,106
869,316,924
26,135,567
345,358,129
388,723,700
17,593,590
519,850,544
931,797,353
685,729,442
719,879,699
598,264,101
631,9,629
570,832,532
609,253,298
249,263,657
36,456,755
756,403,577
72,237,682
231,9,340
304,649,775
134,569,578
488,515,384
629,278,547
135,153,628
278,675,383
695,535,770
934,293,234
88,952,609
101,504,869
525,475,718
786,475,658
123,950,625
251,511,413
356,465,131
341,656,617
874,35,599
583,915,901
660,664,622
55,738,630
605,204,490
737,232,650
776,691,795
125,400,89
832,386,709
323,571,934
958,694,544
777,307,62
804,703,277
693,375,164
962,223,663
47,320,225
912,909,238
353,425,483
507,450,784
361,754,420
276,314,407
37,207,225
294,535,346
239,899,565
728,962,239
848,441,944
783,704,312
312,878,791
441,810,631
830,702,656
561,114,569
14,528,295
449,913,269
376,999,562
820,188,132
659,889,688
939,17,502
639,713,914
589,430,111
73,515,57
38,879,641
298,155,209
91,706,199
357,148,543
102,304,604
786,568,736
659,520,555
299,177,355
663,247,815
82,925,609
580,537,636
925,469,989
81,217,308
897,923,11
470,437,439
86,111,877
525,597,743
352,640,876
979,468,382
672,391,364
192,666,716
158,234,421
52,523,328
385,908,476
150,363,199
712,333,148
66,565,427
564,951,56
247,579,147
366,485,374
30,35,544
928,121,94
543,415,34
341,860,557
501,36,813
210,42,176
829,464,974
413,689,399
357,12,386
864,928,329
926,471,479
707,769,774
943,274,33
641,443,156
983,664,483
286,571,164
826,253,113
281,694,509
468,57,522
391,186,561
596,96,288
980,325,564
462,247,330
816,683,465
110,952,229
132,665,320
734,419,489
770,706,108
994,618,972
978,300,940
380,559,740
854,992,255
316,336,913
337,959,57
852,152,931
93,826,808
245,192,799
458,946,965
252,897,594
510,114,56
523,15,739
108,28,428
432,976,224
415,194,544
950,60,441
946,849,93
394,823,764
491,757,768
861,489,462
787,158,542
372,568,862
342,759,913
37,776,363
699,987,797
65,364,718
972,900,138
303,900,540
23,811,45
901,470,638
61,544,311
160,257,748
218,341,572
38,753,462
606,224,502
97,318,366
478,133,429
710,989,707
496,17,418
542,150,857
62,637,684
702,365,287
183,535,748
279,886,405
140,760,694
323,328,784
590,92,208
149,901,658
148,660,876
289,75,12
178,225,39
851,230,955
923,703,874
435,224,83
776,88,786
909,55,322
772,237,924
558,72,571
596,924,998
657,795,996
845,803,794
914,132,116
736,729,987
528,581,843
902,746,530
256,796,177
833,382,224
691,977,691
252,224,167
394,985,555
386,607,869
502,328,235
180,893,723
446,117,348
287,99,754
777,28,390
998,373,481
21,212,833
839,956,859
995,881,639
913,236,267
788,352,433
91,721,218
156,71,165
165,540,676
597,950,429
341,408,192
104,194,391
38,414,471
710,286,939
243,871,65
208,602,278
247,686,53
716,373,957
941,529,383
808,644,703
650,455,314
246,163,356
631,396,26
464,932,220
173,933,965
574,729,404
91,365,658
864,936,76
907,195,317
113,610,496
589,619,111
876,387,708
968,284,999
192,79,276
595,408,726
814,855,904
496,828,398
756,903,184
244,375,183
560,667,239
141,52,903
292,89,679
49,381,206
896,864,596
643,934,833
310,364,92
163,979,122
162,575,672
84,478,464
506,75,517
541,374,501
668,440,241
582,906,641
476,964,988
742,584,241
799,10,260
871,569,171
242,230,789
160,664,369
260,46,96
406,658,263
952,523,415
498,876,169
817,684,442
157,963,56
832,950,349
413,185,412
188,740,176
315,131,658
392,183,853
13,648,238
620,773,26
946,423,974
928,619,122
81,518,938
555,790,10
662,115,597
631,872,253
884,738,408
738,117,990
7,213,848
553,722,721
374,382,228
220,480,235
401,610,749
167,84,462
278,193,871
203,588,476
380,755,13
681,367,438
941,689,688
146,242,673
150,693,405
445,880,584
955,675,635
381,645,325
352,480,897
454,753,740
241,350,325
147,823,18
130,383,805
609,922,912
902,922,591
958,456,857
982,2,630
663,701,81
106,158,261
216,915,870
890,644,899
110,234,642
643,501,64
296,34,924
937,841,110
19,855,415
555,979,399
954,942,327
598,537,630
673,540,130
368,401,558
57,138,234
29,636,869
427,734,159
750,842,836
619,92,451
803,594,327
591,445,48
987,606,457
266,357,174
543,910,170
463,247,443
424,531,227
368,213,614
818,177,400
425,905,690
627,516,566
916,561,782
872,344,867
449,271,4
957,936,208
972,441,42
740,837,733
968,35,783
667,432,718
389,116,840
292,539,721
611,570,152
802,612,87
267,434,603
359,904,950
680,472,322
682,441,352
458,949,819
71,79,901
197,857,184
340,579,224
226,931,156
942,895,148
551,260,900
196,86,18
751,782,801
54,41,978
253,699,302
921,990,733
144,188,801
282,735,36
640,643,638
964,745,950
77,679,537
288,666,915
263,546,184
877,938,619
382,735,197
647,234,874
519,363,686
794,415,394
496,347,345
892,486,227
98,46,365
909,77,416
493,399,45
15,979,538
484,611,796
934,388,835
275,689,35
188,954,89
322,704,114
454,954,764
971,39,401
701,80,396
744,140,938
557,904,960
873,229,309
872,643,257
791,255,476
61,681,403
546,564,502
93,667,188
321,206,263
56,668,568
107,166,735
364,373,865
709,18,188
178,813,213
654,350,454
500,863,494
